"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"6/4/2023 6 a.m. EDT",347185,349343,342133,5310
US48,"6/4/2023 7 a.m. EDT",344557,348097,340359,5781
US48,"6/4/2023 8 a.m. EDT",347634,354107,343495,5497
US48,"6/4/2023 9 a.m. EDT",360832,368553,355271,3827
US48,"6/4/2023 10 a.m. EDT",379312,388014,373610,1782
US48,"6/4/2023 11 a.m. EDT",399527,410606,395573,343
US48,"6/4/2023 12 p.m. EDT",418749,432262,415757,-370
US48,"6/4/2023 1 p.m. EDT",438072,452446,434353,-1550
US48,"6/4/2023 2 p.m. EDT",454692,469293,452020,-2220
US48,"6/4/2023 3 p.m. EDT",469730,485038,466262,-3876
US48,"6/4/2023 4 p.m. EDT",482918,498470,479513,-4546
US48,"6/4/2023 5 p.m. EDT",494490,508699,490568,-5827
US48,"6/4/2023 6 p.m. EDT",502305,514874,499040,-5587
US48,"6/4/2023 7 p.m. EDT",504144,514720,502085,-5197
US48,"6/4/2023 8 p.m. EDT",499502,508724,497969,-4177
US48,"6/4/2023 9 p.m. EDT",490648,497696,489478,-2602
US48,"6/4/2023 10 p.m. EDT",480587,482326,478601,-1671
US48,"6/4/2023 11 p.m. EDT",463499,461760,458501,-398
US48,"6/5/2023 12 a.m. EDT",434085,435297,432016,1478
US48,"6/5/2023 1 a.m. EDT",420331,408940,,
US48,"6/5/2023 2 a.m. EDT",398140,383744,,
US48,"6/5/2023 3 a.m. EDT",380739,367040,,
US48,"6/5/2023 4 a.m. EDT",370607,357551,,
US48,"6/5/2023 5 a.m. EDT",363803,356193,,
US48,"6/5/2023 6 a.m. EDT",369361,364107,,
US48,"6/5/2023 7 a.m. EDT",383125,377641,,
US48,"6/5/2023 8 a.m. EDT",400804,394294,,
US48,"6/5/2023 9 a.m. EDT",418160,411705,,
US48,"6/5/2023 10 a.m. EDT",435725,431178,,
US48,"6/5/2023 11 a.m. EDT",454761,452166,,
US48,"6/5/2023 12 p.m. EDT",471522,472801,,
US48,"6/5/2023 1 p.m. EDT",488943,493030,,
US48,"6/5/2023 2 p.m. EDT",,511546,,
US48,"6/5/2023 3 p.m. EDT",,527709,,
US48,"6/5/2023 4 p.m. EDT",,540627,,
US48,"6/5/2023 5 p.m. EDT",,549402,,
US48,"6/5/2023 6 p.m. EDT",,551659,,
US48,"6/5/2023 7 p.m. EDT",,546829,,
US48,"6/5/2023 8 p.m. EDT",,537100,,
US48,"6/5/2023 9 p.m. EDT",,522096,,
US48,"6/5/2023 10 p.m. EDT",,502771,,
US48,"6/5/2023 11 p.m. EDT",,477826,,
US48,"6/6/2023 12 a.m. EDT",,448227,,
