vg3	I(Vb1)
Step Information: Vbias=5m  (Step: 1/30)
-2.400000000000000e-01	-1.670290e-07
-2.100000000000000e-01	-1.867377e-07
-1.800000000000000e-01	-1.797807e-07
-1.500000000000000e-01	-1.560931e-07
-1.200000000000000e-01	-1.615349e-07
-9.000000000000002e-02	-1.559642e-07
-6.000000000000003e-02	-1.830192e-07
-3.000000000000003e-02	-1.851447e-07
-2.775557561562891e-17	-1.606864e-07
2.999999999999997e-02	-1.611633e-07
5.999999999999997e-02	-1.577769e-07
8.999999999999997e-02	-1.762074e-07
1.200000000000000e-01	-1.874153e-07
1.500000000000000e-01	-1.719565e-07
1.800000000000000e-01	-1.592157e-07
2.100000000000000e-01	-1.604459e-07
2.400000000000000e-01	-1.663040e-07
2.700000000000000e-01	-1.865925e-07
3.000000000000000e-01	-1.802161e-07
Step Information: Vbias=80m  (Step: 16/30)
-3.000000000000000e-01	-1.870394e-07
-2.700000000000000e-01	-1.892501e-07
-2.400000000000000e-01	-1.795702e-07
-2.100000000000000e-01	-1.987003e-07
-1.800000000000000e-01	-1.942615e-07
-1.500000000000000e-01	-1.830266e-07
-1.200000000000000e-01	-1.901347e-07
-9.000000000000002e-02	-1.828212e-07
-6.000000000000003e-02	-1.945048e-07
-3.000000000000003e-02	-1.985807e-07
-2.775557561562891e-17	-1.794291e-07
2.999999999999997e-02	-1.893223e-07
5.999999999999997e-02	-1.869010e-07
8.999999999999997e-02	-1.874105e-07
1.200000000000000e-01	-1.999998e-07
1.500000000000000e-01	-1.875917e-07
1.800000000000000e-01	-1.868307e-07
2.100000000000000e-01	-1.893572e-07
2.400000000000000e-01	-1.793760e-07
2.700000000000000e-01	-1.985189e-07
3.000000000000000e-01	-1.946244e-07
Step Information: Vbias=85m  (Step: 17/30)
-3.000000000000000e-01	-2.128111e-07
-2.700000000000000e-01	-2.163776e-07
-2.400000000000000e-01	-2.049730e-07
-2.100000000000000e-01	-2.105629e-07
-1.800000000000000e-01	-2.083459e-07
-1.500000000000000e-01	-2.082106e-07
-1.200000000000000e-01	-2.168673e-07
-9.000000000000002e-02	-2.104695e-07
-6.000000000000003e-02	-2.059473e-07
-3.000000000000003e-02	-2.117432e-07
-2.775557561562891e-17	-2.020959e-07
2.999999999999997e-02	-2.155886e-07
5.999999999999997e-02	-2.143248e-07
8.999999999999997e-02	-2.002445e-07
1.200000000000000e-01	-2.124110e-07
1.500000000000000e-01	-2.027529e-07
1.800000000000000e-01	-2.125668e-07
2.100000000000000e-01	-2.164618e-07
2.400000000000000e-01	-2.053708e-07
2.700000000000000e-01	-2.103494e-07
3.000000000000000e-01	-2.086448e-07
Step Information: Vbias=90m  (Step: 18/30)
-3.000000000000000e-01	-2.370811e-07
-2.700000000000000e-01	-2.420307e-07
-2.400000000000000e-01	-2.315524e-07
-2.100000000000000e-01	-2.223427e-07
-1.800000000000000e-01	-2.221014e-07
-1.500000000000000e-01	-2.319379e-07
-1.200000000000000e-01	-2.420887e-07
-9.000000000000002e-02	-2.368031e-07
-6.000000000000003e-02	-2.187357e-07
-3.000000000000003e-02	-2.246778e-07
-2.775557561562891e-17	-2.251619e-07
2.999999999999997e-02	-2.403358e-07
5.999999999999997e-02	-2.403358e-07
8.999999999999997e-02	-2.251619e-07
1.200000000000000e-01	-2.246778e-07
1.500000000000000e-01	-2.187357e-07
1.800000000000000e-01	-2.368031e-07
2.100000000000000e-01	-2.420887e-07
2.400000000000000e-01	-2.319379e-07
2.700000000000000e-01	-2.221014e-07
3.000000000000000e-01	-2.223427e-07
Step Information: Vbias=95m  (Step: 19/30)
-3.000000000000000e-01	-2.601319e-07
-2.700000000000000e-01	-2.664596e-07
-2.400000000000000e-01	-2.570950e-07
-2.100000000000000e-01	-2.352207e-07
-1.800000000000000e-01	-2.356496e-07
-1.500000000000000e-01	-2.544855e-07
-1.200000000000000e-01	-2.660680e-07
-9.000000000000002e-02	-2.620112e-07
-6.000000000000003e-02	-2.428616e-07
-3.000000000000003e-02	-2.374204e-07
-2.775557561562891e-17	-2.471882e-07
2.999999999999997e-02	-2.638436e-07
5.999999999999997e-02	-2.651595e-07
8.999999999999997e-02	-2.509589e-07
1.200000000000000e-01	-2.368241e-07
1.500000000000000e-01	-2.384396e-07
1.800000000000000e-01	-2.598222e-07
2.100000000000000e-01	-2.664897e-07
2.400000000000000e-01	-2.574608e-07
2.700000000000000e-01	-2.353868e-07
3.000000000000000e-01	-2.358122e-07
Step Information: Vbias=100m  (Step: 20/30)
-3.000000000000000e-01	-2.821787e-07
-2.700000000000000e-01	-2.898596e-07
-2.400000000000000e-01	-2.817244e-07
-2.100000000000000e-01	-2.587650e-07
-1.800000000000000e-01	-2.503336e-07
-1.500000000000000e-01	-2.760645e-07
-1.200000000000000e-01	-2.890125e-07
-9.000000000000002e-02	-2.862490e-07
-6.000000000000003e-02	-2.681126e-07
-3.000000000000003e-02	-2.500019e-07
-2.775557561562891e-17	-2.682954e-07
2.999999999999997e-02	-2.863260e-07
5.999999999999997e-02	-2.889744e-07
8.999999999999997e-02	-2.759159e-07
1.200000000000000e-01	-2.502364e-07
1.500000000000000e-01	-2.589792e-07
1.800000000000000e-01	-2.818392e-07
2.100000000000000e-01	-2.898609e-07
2.400000000000000e-01	-2.820663e-07
2.700000000000000e-01	-2.594059e-07
3.000000000000000e-01	-2.500685e-07
Step Information: Vbias=105m  (Step: 21/30)
-3.000000000000000e-01	-3.033883e-07
-2.700000000000000e-01	-3.123854e-07
-2.400000000000000e-01	-3.055474e-07
-2.100000000000000e-01	-2.836381e-07
-1.800000000000000e-01	-2.685263e-07
-1.500000000000000e-01	-2.968383e-07
-1.200000000000000e-01	-3.110852e-07
-9.000000000000002e-02	-3.096436e-07
-6.000000000000003e-02	-2.926754e-07
-3.000000000000003e-02	-2.636712e-07
-2.775557561562891e-17	-2.886382e-07
2.999999999999997e-02	-3.079497e-07
5.999999999999997e-02	-3.119238e-07
8.999999999999997e-02	-3.001149e-07
1.200000000000000e-01	-2.738301e-07
1.500000000000000e-01	-2.788902e-07
1.800000000000000e-01	-3.030207e-07
2.100000000000000e-01	-3.123577e-07
2.400000000000000e-01	-3.058626e-07
2.700000000000000e-01	-2.842616e-07
3.000000000000000e-01	-2.678076e-07
Step Information: Vbias=110m  (Step: 22/30)
-3.000000000000000e-01	-3.238920e-07
-2.700000000000000e-01	-3.341614e-07
-2.400000000000000e-01	-3.286545e-07
-2.100000000000000e-01	-3.079380e-07
-1.800000000000000e-01	-2.883943e-07
-1.500000000000000e-01	-3.169351e-07
-1.200000000000000e-01	-3.324155e-07
-9.000000000000002e-02	-3.323003e-07
-6.000000000000003e-02	-3.166015e-07
-3.000000000000003e-02	-2.881091e-07
-2.775557561562891e-17	-3.083393e-07
2.999999999999997e-02	-3.288466e-07
5.999999999999997e-02	-3.341246e-07
8.999999999999997e-02	-3.236301e-07
1.200000000000000e-01	-2.984350e-07
1.500000000000000e-01	-2.982038e-07
1.800000000000000e-01	-3.234979e-07
2.100000000000000e-01	-3.341049e-07
2.400000000000000e-01	-3.289414e-07
2.700000000000000e-01	-3.085389e-07
3.000000000000000e-01	-2.879791e-07
Step Information: Vbias=115m  (Step: 23/30)
-3.000000000000000e-01	-3.437947e-07
-2.700000000000000e-01	-3.552890e-07
-2.400000000000000e-01	-3.511235e-07
-2.100000000000000e-01	-3.316943e-07
-1.800000000000000e-01	-3.167574e-07
-1.500000000000000e-01	-3.364570e-07
-1.200000000000000e-01	-3.531081e-07
-9.000000000000002e-02	-3.543074e-07
-6.000000000000003e-02	-3.399406e-07
-3.000000000000003e-02	-3.168587e-07
-2.775557561562891e-17	-3.274972e-07
2.999999999999997e-02	-3.491222e-07
5.999999999999997e-02	-3.556727e-07
8.999999999999997e-02	-3.465267e-07
1.200000000000000e-01	-3.225884e-07
1.500000000000000e-01	-3.181128e-07
1.800000000000000e-01	-3.433757e-07
2.100000000000000e-01	-3.552042e-07
2.400000000000000e-01	-3.513809e-07
2.700000000000000e-01	-3.322695e-07
3.000000000000000e-01	-3.167536e-07
Step Information: Vbias=120m  (Step: 24/30)
-3.000000000000000e-01	-3.631812e-07
-2.700000000000000e-01	-3.758514e-07
-2.400000000000000e-01	-3.730210e-07
-2.100000000000000e-01	-3.549403e-07
-1.800000000000000e-01	-3.458322e-07
-1.500000000000000e-01	-3.554872e-07
-1.200000000000000e-01	-3.732484e-07
-9.000000000000002e-02	-3.757390e-07
-6.000000000000003e-02	-3.627388e-07
-3.000000000000003e-02	-3.458438e-07
-2.775557561562891e-17	-3.471012e-07
2.999999999999997e-02	-3.688625e-07
5.999999999999997e-02	-3.766481e-07
8.999999999999997e-02	-3.688625e-07
1.200000000000000e-01	-3.471012e-07
1.500000000000000e-01	-3.458438e-07
1.800000000000000e-01	-3.627388e-07
2.100000000000000e-01	-3.757390e-07
2.400000000000000e-01	-3.732484e-07
2.700000000000000e-01	-3.554872e-07
3.000000000000000e-01	-3.458322e-07
Step Information: Vbias=125m  (Step: 25/30)
-3.000000000000000e-01	-3.821214e-07
-2.700000000000000e-01	-3.959181e-07
-2.400000000000000e-01	-3.944049e-07
-2.100000000000000e-01	-3.777522e-07
-1.800000000000000e-01	-3.740867e-07
-1.500000000000000e-01	-3.748450e-07
-1.200000000000000e-01	-3.929070e-07
-9.000000000000002e-02	-3.966584e-07
-6.000000000000003e-02	-3.850387e-07
-3.000000000000003e-02	-3.739976e-07
-2.775557561562891e-17	-3.739022e-07
2.999999999999997e-02	-3.881380e-07
5.999999999999997e-02	-3.971179e-07
8.999999999999997e-02	-3.906889e-07
1.200000000000000e-01	-3.738319e-07
1.500000000000000e-01	-3.740571e-07
1.800000000000000e-01	-3.816572e-07
2.100000000000000e-01	-3.957789e-07
2.400000000000000e-01	-3.946023e-07
2.700000000000000e-01	-3.782520e-07
3.000000000000000e-01	-3.740847e-07
Step Information: Vbias=130m  (Step: 26/30)
-3.000000000000000e-01	-4.012939e-07
-2.700000000000000e-01	-4.155473e-07
-2.400000000000000e-01	-4.153254e-07
-2.100000000000000e-01	-4.009790e-07
-1.800000000000000e-01	-4.015893e-07
-1.500000000000000e-01	-4.008314e-07
-1.200000000000000e-01	-4.121426e-07
-9.000000000000002e-02	-4.171197e-07
-6.000000000000003e-02	-4.068798e-07
-3.000000000000003e-02	-4.013480e-07
-2.775557561562891e-17	-4.013401e-07
2.999999999999997e-02	-4.070076e-07
5.999999999999997e-02	-4.171387e-07
8.999999999999997e-02	-4.120511e-07
1.200000000000000e-01	-4.008450e-07
1.500000000000000e-01	-4.015868e-07
1.800000000000000e-01	-4.010493e-07
2.100000000000000e-01	-4.153821e-07
2.400000000000000e-01	-4.154930e-07
2.700000000000000e-01	-4.012069e-07
3.000000000000000e-01	-4.015815e-07
Step Information: Vbias=135m  (Step: 27/30)
-3.000000000000000e-01	-4.265770e-07
-2.700000000000000e-01	-4.347881e-07
-2.400000000000000e-01	-4.358264e-07
-2.100000000000000e-01	-4.260912e-07
-1.800000000000000e-01	-4.284028e-07
-1.500000000000000e-01	-4.275866e-07
-1.200000000000000e-01	-4.310050e-07
-9.000000000000002e-02	-4.371696e-07
-6.000000000000003e-02	-4.283299e-07
-3.000000000000003e-02	-4.279683e-07
-2.775557561562891e-17	-4.282172e-07
2.999999999999997e-02	-4.262387e-07
5.999999999999997e-02	-4.367589e-07
8.999999999999997e-02	-4.329896e-07
1.200000000000000e-01	-4.271620e-07
1.500000000000000e-01	-4.284815e-07
1.800000000000000e-01	-4.266528e-07
2.100000000000000e-01	-4.345978e-07
2.400000000000000e-01	-4.359646e-07
2.700000000000000e-01	-4.260249e-07
3.000000000000000e-01	-4.283859e-07
Step Information: Vbias=140m  (Step: 28/30)
-3.000000000000000e-01	-4.527406e-07
-2.700000000000000e-01	-4.536829e-07
-2.400000000000000e-01	-4.559465e-07
-2.100000000000000e-01	-4.513127e-07
-1.800000000000000e-01	-4.545834e-07
-1.500000000000000e-01	-4.538855e-07
-1.200000000000000e-01	-4.501354e-07
-9.000000000000002e-02	-4.568485e-07
-6.000000000000003e-02	-4.500649e-07
-3.000000000000003e-02	-4.539239e-07
-2.775557561562891e-17	-4.545646e-07
2.999999999999997e-02	-4.512351e-07
5.999999999999997e-02	-4.560202e-07
8.999999999999997e-02	-4.535409e-07
1.200000000000000e-01	-4.527990e-07
1.500000000000000e-01	-4.547868e-07
1.800000000000000e-01	-4.528279e-07
2.100000000000000e-01	-4.534687e-07
2.400000000000000e-01	-4.560559e-07
2.700000000000000e-01	-4.511960e-07
3.000000000000000e-01	-4.545549e-07
Step Information: Vbias=145m  (Step: 29/30)
-3.000000000000000e-01	-4.785358e-07
-2.700000000000000e-01	-4.727674e-07
-2.400000000000000e-01	-4.757196e-07
-2.100000000000000e-01	-4.759536e-07
-1.800000000000000e-01	-4.801816e-07
-1.500000000000000e-01	-4.797456e-07
-1.200000000000000e-01	-4.746194e-07
-9.000000000000002e-02	-4.761914e-07
-6.000000000000003e-02	-4.734491e-07
-3.000000000000003e-02	-4.792725e-07
-2.775557561562891e-17	-4.804134e-07
2.999999999999997e-02	-4.769049e-07
5.999999999999997e-02	-4.749587e-07
8.999999999999997e-02	-4.737610e-07
1.200000000000000e-01	-4.778182e-07
1.500000000000000e-01	-4.805445e-07
1.800000000000000e-01	-4.786295e-07
2.100000000000000e-01	-4.727233e-07
2.400000000000000e-01	-4.758008e-07
2.700000000000000e-01	-4.758083e-07
3.000000000000000e-01	-4.801396e-07
Step Information: Vbias=150m  (Step: 30/30)
-3.000000000000000e-01	-5.039696e-07
-2.700000000000000e-01	-4.968246e-07
-2.400000000000000e-01	-4.951763e-07
-2.100000000000000e-01	-5.000364e-07
-1.800000000000000e-01	-5.052429e-07
-1.500000000000000e-01	-5.051859e-07
-1.200000000000000e-01	-4.998636e-07
-9.000000000000002e-02	-4.952298e-07
-6.000000000000003e-02	-4.970374e-07
-3.000000000000003e-02	-5.040657e-07
-2.775557561562891e-17	-5.057929e-07
2.999999999999997e-02	-5.022748e-07
5.999999999999997e-02	-4.941887e-07
8.999999999999997e-02	-4.941887e-07
1.200000000000000e-01	-5.022748e-07
1.500000000000000e-01	-5.057929e-07
1.800000000000000e-01	-5.040657e-07
2.100000000000000e-01	-4.970374e-07
2.400000000000000e-01	-4.952298e-07
2.700000000000000e-01	-4.998636e-07
3.000000000000000e-01	-5.051859e-07
